GOID	Term	Category	FDR	P	T	R	NAT	NAR
GO:0005576	extracellular region	C	2.19E-08	4.54E-11	66	21	3409	4928
GO:0016021	integral component of membrane	C	8.24E-05	3.42E-07	584	638	2891	4311
GO:0004497	monooxygenase activity	F	3.24E-17	1.87E-20	151	57	3324	4892
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	F	4.12E-14	2.85E-17	294	200	3181	4749
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	F	7.42E-11	1.03E-13	135	67	3340	4882
GO:0020037	heme binding	F	1.44E-10	2.33E-13	118	54	3357	4895
GO:0008270	zinc ion binding	F	1.98E-09	3.42E-12	471	435	3004	4514
GO:0005506	iron ion binding	F	9.74E-08	2.36E-10	120	68	3355	4881
GO:0031177	phosphopantetheine binding	F	4.74E-06	1.31E-08	26	2	3449	4947
GO:0015171	amino acid transmembrane transporter activity	F	6.44E-06	1.86E-08	52	18	3423	4931
GO:0008762	UDP-N-acetylmuramate dehydrogenase activity	F	7.77E-06	2.33E-08	46	14	3429	4935
GO:0071949	FAD binding	F	1.43E-05	4.60E-08	42	12	3433	4937
GO:0004252	serine-type endopeptidase activity	F	6.43E-04	3.11E-06	38	14	3437	4935
GO:0043531	ADP binding	F	1.44E-02	8.60E-05	15	2	3460	4947
GO:0008061	chitin binding	F	1.44E-02	8.60E-05	15	2	3460	4947
GO:0015925	galactosidase activity	F	3.00E-02	1.94E-04	12	1	3463	4948
GO:0055114	oxidation-reduction process	P	4.00E-29	9.22E-33	722	557	2753	4392
GO:0003333	amino acid transmembrane transport	P	9.05E-06	2.82E-08	54	20	3421	4929
GO:0045493	xylan catabolic process	P	1.75E-02	1.09E-04	24	8	3451	4941
GO:0006040	amino sugar metabolic process	P	3.40E-02	2.28E-04	66	48	3409	4901
